SiteName	Country	Period	PhaseCode	LabCode	C14Age	C14SD	Material	MaterialSpecies	tpq	taq	Longitude	Latitude	bib	bib_url
Chemin des Collines	Swiss	MN	z.W Layer 8-6	ARC-404	5100	120	human bone	Homo sapiens	-4230	-3646	7.353822	46.232509	Hafner 2012	Hafner12
Sion - Avenue Ritz	Swiss	MN	n/a	ARC-405	5870	130	human bone	Homo sapiens	-5202	-4446	7.359572	46.235841	Piguet 2011	Piguet11
Sion - Avenue Ritz	Swiss	MN	n/a	ARC-406	5500	140	human bone	Homo sapiens	-4673	-3995	7.359572	46.235841	Piguet 2011	Piguet11
Sion - Avenue Ritz	Swiss	MN	Burial 6	ARC-407	5680	160	human bone	Homo sapiens	-4940	-4172	7.359572	46.235841	Piguet 2011	Piguet11
Barmaz	Swiss	MN	Layer 6, Burial 3	ARC-411	5595	60	human bone	Homo sapiens	-4547	-4337	6.939533	46.273214	Piguet 2011	Piguet11
Clapier	France	MN	Secteur 4	ARC-630	5460	60	n/a	n/a	-4448	-4067	5.0834	45.5169	Beeching et al. 1997	Beeching97
Clapier	France	MN	Secteur 4	ARC-631	5150	130	n/a	n/a	-4313	-3654	5.0834	45.5169	Beeching et al. 1997	Beeching97
Clapier	France	MN	n/a	ARC-786	5555	280	n/a	n/a	-5203	-3776	5.0834	45.5169	Beeching et al. 1997	Beeching97
Petit-Chasseur	Swiss	MN	Layer 8-12	B-2110	5130	100	wood charcoal	n/d	-4231	-3657	7.359579	46.231164	Piguet 2011	Piguet11
Petit-Chasseur	Swiss	MN	Layer 8-12	B-2111	5100	70	wood charcoal	n/d	-4045	-3709	7.359579	46.231164	Piguet 2011	Piguet11
Tec Nev	Swiss	LM	Survey TN 1-3	B-2382	5950	110	wood charcoal	n/d	-5207	-4546	9.232014	46.382515	Della Casa 1995	DellaCasa95
Petit-Chasseur	Swiss	EN	Layer 13	B-2468	5630	110	wood charcoal	n/d	-4723	-4255	7.359579	46.231164	Piguet 2011	Piguet11
Petit-Chasseur	Swiss	EN	Layer 13	B-2469	5500	110	wood charcoal	n/d	-4583	-4049	7.359579	46.231164	Piguet 2011	Piguet11
Petit-Chasseur	Swiss	MN	Layer 8-12	B-2471	5070	90	wood charcoal	n/d	-4044	-3651	7.359579	46.231164	Piguet 2011	Piguet11
Sion-Planta	Swiss	EN	Layer 6C	B-4008	5980	30	wood charcoal	n/d	-4984	-4784	7.357827	46.232916	Gallay et al. 1987	https://doi.org/10.4000/books.editionscnrs.1114.
Castel Grande di Bellinzona	Swiss	EN	Layer middle	B-4561	5150	60	wood charcoal	n/d	-4218	-3786	9.017	46.2	Bagolini & Biagi 1990	https://doi.org/10.1111/j.1468-0092.1990.tb00211.x
Castel Grande di Bellinzona	Swiss	EN	Layer 13	B-4563	5410	100	wood charcoal	n/d	-4446	-3994	9.017	46.2	Bagolini & Biagi 1990	https://doi.org/10.1111/j.1468-0092.1990.tb00211.x
Castel Grande di Bellinzona	Swiss	EN	Isolated charcoal from layers	B-4565	6270	40	wood charcoal	n/d	-5323	-5071	9.017	46.2	Bagolini & Biagi 1990	https://doi.org/10.1111/j.1468-0092.1990.tb00211.x
